year,name,position,heightfeet,heightinches,heightinchestotal,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,nflgrade,Pick,Tm,Name,Pos,Age,To,G,College/Univ,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Ameer Abdullah,RB,5,9,69,205,4.6,3.95,6.79,42.5,130,24,Nebraska,5.9,54,DET,Ameer Abdullah,RB,22,2015,12,Nebraska,54,DET,Ameer Abdullah,RB,Nebraska,4,"$4,156,126","$1,282,637","$1,856,552","$755,659"
2015,Nelson Agholor,WR,6,0,72,198,4.42,0,0,0,0,12,USC,5.6,20,PHI,Nelson Agholor,WR,22,2015,9,USC,20,PHI,Nelson Agholor,WR,Southern California,4,"$9,377,374","$5,079,908","$8,520,507","$1,704,977"
2015,Jay Ajayi,RB,6,0,72,221,4.57,4.1,7.1,39,121,19,Boise St.,6,149,MIA,Jay Ajayi,RB,22,2015,5,Boise St.,149,MIAfrom MIN,Jay Ajayi,RB,Boise State,4,"$2,500,813","$220,813","$220,813","$490,203"
2015,Kwon Alexander,OLB,6,1,73,227,4.55,4.2,7.14,36,121,24,LSU,5.4,124,TAM,Kwon Alexander,OLB,21,2015,12,LSU,124,"TBfrom CAR 
via OAK",Kwon Alexander,OLB,Louisiana State,4,"$2,758,322","$478,322","$478,322","$554,580"
2015,Mario Alford,WR,5,8,68,180,4.43,4.07,6.64,34,121,13,West Virginia,5.3,238,CIN,Mario Alford,WR,23,2015,1,West Virginia,238,CIN,Mario Alford,WR,West Virginia,4,"$2,339,104","$59,104","$59,104","$449,776"
2015,Javorius Allen,RB,6,0,72,221,4.53,4.28,6.96,35.5,121,11,USC,5.3,125,BAL,Javorius Allen,RB,24,2015,12,USC,125,BAL,Javorius Allen,RB,Southern California,4,"$2,754,471","$474,471","$474,471","$553,618"
2015,Adrian Amos,FS,6,0,72,218,4.56,4.03,7.09,35.5,122,0,Penn St.,5.5,142,CHI,Adrian Amos,FS,22,2015,12,Penn St.,142,CHIfrom NYJ,Adrian Amos,FS,Penn State,4,"$2,512,280","$232,280","$232,280","$493,070"
2015,Henry Anderson,DE,6,6,78,294,5.03,4.19,7.2,30,111,0,Stanford,5.6,93,IND,Henry Anderson,DE,24,2015,9,Stanford,93,IND,Henry Anderson,DE,Stanford,4,"$2,994,464","$613,676","$613,676","$588,419"
2015,Stephone Anthony,ILB,6,3,75,243,4.56,4.03,7.07,37,122,23,Clemson,5.4,31,NOR,Stephone Anthony,ILB,23,2015,12,Clemson,31,NOfrom SEA,Stephone Anthony,OLB,Clemson,4,"$7,731,716","$3,883,066","$6,242,392","$1,405,766"
2015,Arik Armstead,DT,6,7,79,292,5.1,4.53,7.57,34,117,24,Oregon,6.2,17,SFO,Arik Armstead,DT,21,2015,12,Oregon,17,SFfrom SD,Arik Armstead,DE,Oregon,4,"$9,842,630","$5,418,276","$9,842,630","$1,789,569"
2015,Cameron Artis-Payne,RB,5,10,70,212,4.53,0,7.13,36.5,118,0,Auburn,5.4,174,CAR,Cameron Artis-Payne,RB,25,2015,4,Auburn,174 (C),CAR,Cameron Artis-Payne,RB,Auburn,4,"$2,446,254","$166,254","$166,254","$476,563"
2015,Neiron Ball,OLB,6,2,74,236,0,0,0,0,0,22,Florida,4.9,161,OAK,Neiron Ball,OLB,23,2015,6,Florida,161,OAKfrom CAR,Neiron Ball,OLB,Florida,4,"$2,485,324","$205,324","$205,324","$486,331"
2015,Vic Beasley,OLB,6,3,75,246,4.53,4.15,6.91,41,130,35,Clemson,6.1,8,ATL,Vic Beasley,OLB,23,2015,12,Clemson,8,ATL,Vic Beasley,OLB,Clemson,4,"$14,495,228","$8,801,984","$14,495,228","$2,635,496"
2015,Blake Bell,TE,6,6,78,252,4.8,4.32,0,33,116,14,Oklahoma,5.2,117,SFO,Blake Bell,TE,24,2015,10,Oklahoma,117,SFfrom SD,Blake Bell,TE,Oklahoma,4,"$2,785,132","$505,132","$505,132","$561,283"
2015,Kenny Bell,WR,6,1,73,197,4.42,4.15,6.66,41.5,129,7,Nebraska,5.4,162,TAM,Kenny Bell,WR,23,,,Nebraska,162,TBfrom BAL,Kenny Bell,WR,Nebraska,4,"$2,484,836","$204,836","$204,836","$486,209"
2015,Michael Bennett,DT,6,2,74,293,0,0,0,0,0,0,Ohio St.,6,180,JAX,Michael Bennett,DT,22,2015,9,Ohio St.,180,JAC,Michael Bennett,DT,Ohio State,4,"$2,418,698","$138,698","$138,698","$469,674"
2015,Angelo Blackson,DT,6,4,76,318,5.02,4.57,7.5,31,101,20,Auburn,5,100,TEN,Angelo Blackson,DT,22,2015,12,Auburn,100,TEN,Angelo Blackson,DT,Auburn,4,"$2,851,615","$571,615","$571,615","$577,903"
2015,Nick Boyle,TE,6,4,76,268,5.04,4.23,0,30.5,112,20,Delaware,5.2,171,BAL,Nick Boyle,TE,22,2015,11,Delaware,171 (C),BAL,Nick Boyle,TE,Delaware,4,"$2,446,254","$166,254","$166,254","$476,563"
2015,Da'Ron Brown,WR,6,0,72,205,4.54,4.11,7.04,37,120,17,Northern Illinois,4.9,233,KAN,Da'Ron Brown,WR,23,,,Northern Illinois,233,KC,Da'Ron Brown,WR,Northern Illinois,4,"$2,375,056","$68,056","$68,056","$452,014"
2015,Jamon Brown,OT,6,4,76,323,0,0,0,0,0,0,Louisville,5.3,72,STL,Jamon Brown,T,22,2015,9,Louisville,72,STL,Jamon Brown,G,Louisville,4,"$3,243,261","$754,816","$754,816","$623,704"
2015,Trenton Brown,OG,6,8,80,355,5.29,4.78,8.23,23.5,97,20,Florida,5.3,244,SFO,Trenton Brown,G,22,2015,3,Florida,244,"SFfrom DAL 
via IND",Trenton Brown,G,Florida,4,"$2,335,893","$55,893","$55,893","$448,973"
2015,Michael Burton,FB,5,11,71,242,4.74,4.34,7.2,33,115,25,Rutgers,4.8,168,DET,Michael Burton,FB,23,2015,12,Rutgers,168,"DETfrom NE 
via TB",Michael Burton,FB,Rutgers,4,"$2,464,356","$184,356","$184,356","$481,089"
2015,Ibraheim Campbell,SS,5,11,71,208,0,0,0,0,0,23,Northwestern,5.2,115,CLE,Ibraheim Campbell,SS,23,2015,11,Northwestern,115,CLEfrom BUF,Ibraheim Campbell,SS,Northwestern,4,"$2,792,010","$512,010","$512,010","$563,002"
2015,A.J. Cann,OG,6,3,75,313,0,0,0,0,0,26,South Carolina,6,67,JAX,A.J. Cann,G,23,2015,10,South Carolina,67,JAC,A.J. Cann,G,South Carolina,4,"$3,372,698","$801,596","$801,596","$635,399"
2015,Joe Cardona,LS,6,2,74,242,4.91,0,0,33,0,30,Navy,0,166,NWE,Joe Cardona,LS,23,2015,12,Navy,166,NEfrom GB,Joe Cardona,LS,Navy,4,"$2,480,000","$100,000","$100,000","$477,500"
2015,Alex Carter,CB,6,0,72,196,4.51,4.07,7.05,40,121,17,Stanford,5.5,80,DET,Alex Carter,CB,20,,,Stanford,80,"DETfrom KC 
via MIN",Alex Carter,CB,Stanford,4,"$3,058,747","$688,747","$688,747","$607,186"
2015,Anthony Chickillo,DE,6,3,75,267,4.79,4.25,7.17,34.5,114,27,Miami,5.1,212,PIT,Anthony Chickillo,DE,22,2015,6,Miami (FL),212 (C),PIT,Anthony Chickillo,DE,Miami (FL),4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Gerald Christian,TE,6,3,75,244,4.87,4.7,0,0,0,28,Louisville,5.3,256,ARI,Gerald Christian,TE,24,,,Louisville,256 (C),ARI,Gerald Christian,TE,Louisville,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Frank Clark,DE,6,3,75,271,4.79,4.05,7.08,38.5,118,19,Michigan,4.8,63,SEA,Frank Clark,DE,22,2015,11,Michigan,63,SEA,Frank Clark,DE,Michigan,4,"$3,732,225","$974,346","$1,214,346","$678,586"
2015,Kaelin Clay,WR,5,10,70,195,4.51,4.26,6.97,33,113,10,Utah,5.1,184,TAM,Kaelin Clay,WR,23,2015,3,Utah,184,TBfrom STL,Kaelin Clay,WR,Utah,4,"$2,410,477","$130,477","$130,477","$467,619"
2015,T.J. Clemmings,OT,6,5,77,309,5.14,4.54,7.68,32.5,111,22,Pittsburgh,6.1,110,MIN,T.J. Clemmings,T,23,2015,12,Pittsburgh,110,MIN,T.J. Clemmings,T,Pittsburgh,4,"$2,804,955","$524,955","$524,955","$566,238"
2015,Sammie Coates,WR,6,1,73,212,4.43,4.06,6.98,41,131,23,Auburn,5.6,87,PIT,Sammie Coates,WR,22,2015,7,Auburn,87,PIT,Sammie Coates,WR,Auburn,4,"$3,000,334","$631,515","$631,515","$592,878"
2015,David Cobb,RB,5,11,71,229,4.81,0,0,38.5,121,17,Minnesota,5.5,138,TEN,David Cobb,RB,22,2015,3,Minnesota,138,TEN,David Cobb,RB,Minnesota,4,"$2,525,668","$245,668","$245,668","$496,417"
2015,Tevin Coleman,RB,5,11,71,206,0,0,0,0,0,22,Indiana,6.1,73,ATL,Tevin Coleman,RB,22,2015,10,Indiana,73,ATL,Tevin Coleman,RB,Indiana,4,"$3,219,372","$745,244","$745,244","$621,311"
2015,Jalen Collins,CB,6,1,73,203,4.48,4.27,6.77,36,124,0,LSU,6.1,42,ATL,Jalen Collins,CB,22,2015,12,LSU,42,ATL,Jalen Collins,CB,Louisiana State,4,"$5,427,834","$2,207,516","$2,889,236","$986,879"
2015,Landon Collins,SS,6,0,72,228,4.53,4.33,7.38,35,120,0,Alabama,6.4,33,NYG,Landon Collins,SS,21,2015,12,Alabama,33,NYGfrom TEN,Landon Collins,FS,Alabama,4,"$6,120,557","$2,711,314",-,"$1,112,828"
2015,Chris Conley,WR,6,2,74,213,4.35,4.3,7.06,45,139,18,Georgia,5.5,76,KAN,Chris Conley,WR,22,2015,12,Georgia,76,KCfrom MIN,Chris Conley,WR,Georgia,4,"$3,123,684","$712,434","$712,434","$613,108"
2015,Amari Cooper,WR,6,1,73,211,4.42,3.98,6.71,33,120,0,Alabama,7,4,OAK,Amari Cooper,WR,21,2015,12,Alabama,4,OAK,Amari Cooper,WR,Alabama,4,"$22,663,116","$14,742,266","$22,663,116","$4,120,566"
2015,Xavier Cooper,DT,6,3,75,293,4.86,4.37,7.23,29,110,29,Washington St.,5.4,96,CLE,Xavier Cooper,DT,23,2015,10,Washington St.,96,CLEfrom NE,Xavier Cooper,DT,Washington State,4,"$2,907,284","$592,284","$592,284","$583,071"
2015,Christian Covington,DT,6,2,74,289,0,0,0,0,0,0,Rice,5.4,216,HOU,Christian Covington,DT,21,2015,12,Rice,216 (C),HOU,Christian Covington,DT,Rice,4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Jamison Crowder,WR,5,8,68,185,4.56,4.32,7.17,37,115,10,Duke,5.4,105,WAS,Jamison Crowder,WR,22,2015,12,Duke,105,WAS,Jamison Crowder,WR,Duke,4,"$2,825,624","$545,624","$545,624","$571,406"
2015,Ronald Darby,CB,5,11,71,193,4.38,4.14,6.94,41.5,129,12,Florida St.,5.6,50,BUF,Ronald Darby,CB,21,2015,12,Florida St.,50,BUF,Ronald Darby,CB,Florida State,4,"$4,569,691","$1,583,412","$2,176,125","$830,853"
2015,Carl Davis,DT,6,5,77,320,5.07,4.47,7.91,33,103,0,Iowa,5.9,90,BAL,Carl Davis,DT,23,2015,10,Iowa,90,BAL,Carl Davis,DT,Iowa,4,"$3,074,609","$625,084","$625,084","$591,271"
2015,Geremy Davis,WR,6,2,74,216,0,4.18,6.86,36.5,124,23,Connecticut,4.8,186,NYG,Geremy Davis,WR,23,2015,10,Connecticut,186,NYG,Geremy Davis,WR,Connecticut,4,"$2,407,082","$127,082","$127,082","$466,770"
2015,Mike Davis,RB,5,9,69,217,4.61,4.18,7,34,116,17,South Carolina,5.4,126,SFO,Mike Davis,RB,22,2015,5,South Carolina,126,SFfrom DEN,Mike Davis,RB,South Carolina,4,"$2,748,781","$468,781","$468,781","$552,195"
2015,Tyeler Davison,DT,6,2,74,316,5.18,4.46,7.53,33,105,32,Fresno St.,5.5,154,NOR,Tyeler Davison,DT,23,2015,12,Fresno St.,154,NOfrom KC,Tyeler Davison,DT,Fresno State,4,"$2,497,225","$217,225","$217,225","$489,306"
2015,Paul Dawson,ILB,6,0,72,235,4.93,4.49,0,28,109,21,TCU,6,99,CIN,Paul Dawson,ILB,22,2015,8,TCU,99 (C),CIN,Paul Dawson,LB,Texas Christian,4,"$2,952,710","$581,952","$581,952","$580,488"
2015,A.J. Derby,TE,6,4,76,255,0,0,0,0,0,15,Arkansas,5.3,202,NWE,A.J. Derby,TE,24,,,Arkansas,202,"NEfrom BAL 
via CLE",A.J. Derby,TE,Arkansas,4,"$2,392,053","$112,053","$112,053","$346,013"
2015,Xzavier Dickson,OLB,6,3,75,260,4.74,4.53,7.56,29.5,100,19,Alabama,5.1,253,NWE,Xzavier Dickson,OLB,,,,Alabama,253 (C),NE,Xzavier Dickson,OLB,Alabama,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Quandre Diggs,CB,5,9,69,196,4.56,4.15,7.22,35.5,113,17,Texas,5.2,200,DET,Quandre Diggs,CB,23,2015,12,Texas,200,DET,Quandre Diggs,CB,Texas,4,"$2,395,352","$115,352","$115,352","$463,838"
2015,Stefon Diggs,WR,6,0,72,195,4.46,4.32,7.03,35,115,0,Maryland,5.6,146,MIN,Stefon Diggs,WR,21,2015,9,Maryland,146,MINfrom ATL,Stefon Diggs,WR,Maryland,4,"$2,507,713","$227,713","$227,713","$491,928"
2015,Andrew Donnal,OT,6,6,78,313,5.31,4.77,7.84,32,101,17,Iowa,5.4,119,STL,Andrew Donnal,T,23,2015,5,Iowa,119,STLfrom PHI,Andrew Donnal,T,Iowa,4,"$2,776,935","$496,935","$496,935","$559,233"
2015,Phillip Dorsett,WR,5,10,70,185,4.33,4.11,6.7,37,122,13,Miami,5.7,29,IND,Phillip Dorsett,WR,22,2015,7,Miami (FL),29,IND,Phillip Dorsett,WR,Miami (FL),4,"$8,135,414","$4,176,665","$6,591,040","$1,479,166"
2015,Lorenzo Doss,CB,5,10,70,182,4.5,4.26,7.2,33.5,115,9,Tulane,5.6,164,DEN,Lorenzo Doss,CB,21,2015,4,Tulane,164,DEN,Lorenzo Doss,CB,Tulane,4,"$2,477,213","$197,213","$197,213","$484,303"
2015,Jamil Douglas,OG,6,4,76,304,5.25,4.75,7.99,29,99,28,Arizona State,5.2,114,MIA,Jamil Douglas,G,23,2015,12,Arizona St.,114,MIA,Jamil Douglas,G,Arizona State,4,"$2,798,565","$518,565","$518,565","$564,641"
2015,B.J. Dubose,OLB,6,4,76,284,5.06,0,0,0,0,26,Louisville,5.2,193,MIN,B.J. Dubose,DE,23,,,Louisville,193,MINfrom KC,B.J. Dubose,DE,Louisville,4,"$2,399,860","$119,860","$119,860","$464,965"
2015,Bud Dupree,OLB,6,4,76,269,4.56,0,0,42,138,0,Kentucky,5.9,22,PIT,Bud Dupree,OLB,22,2015,12,Kentucky,22,PIT,Bud Dupree,OLB,Kentucky,4,"$9,222,282","$4,967,114","$8,631,999","$1,676,778"
2015,Mario Edwards, DT,6,3,75,279,4.84,4.55,7.44,32.5,120,32,Florida St.,5.6,35,OAK,Mario Edwards,DT,21,2015,12,Florida St.,35,OAK,Mario Edwards,DE,Florida State,4,"$6,017,162","$2,636,118",-,"$1,094,029"
2015,Ifo Ekpre-Olomu,CB,5,9,69,192,0,0,0,0,0,0,Oregon,5.6,241,CLE,Ifo Ekpre-Olomu,CB,22,,,Oregon,241,CLEfrom ARI,Ifo Ekpre-Olomu,CB,Oregon,4,"$2,337,301","$57,301","$57,301","$449,325"
2015,Kyle Emanuel,OLB,6,3,75,255,4.77,4.25,7.1,34,120,27,North Dakota St.,5.5,153,SDG,Kyle Emanuel,OLB,24,2015,12,North Dakota St.,153,SD,Kyle Emanuel,OLB,North Dakota State,4,"$2,498,572","$218,572","$218,572","$489,643"
2015,Cameron Erving,C,6,5,77,313,5.15,4.63,7.48,30.5,112,30,Florida St.,5.8,19,CLE,Cameron Erving,C,23,2015,12,Florida St.,19,CLEfrom BUF,Cameron Erving,C,Florida State,4,"$9,429,065","$5,117,502","$9,429,065","$1,714,375"
2015,Tayo Fabuluje,OG,6,6,78,353,5.55,4.77,0,29.5,0,0,TCU,5.3,183,CHI,Tayo Fabuluje,T,24,2015,4,TCU,183,CHI,Tayo Fabuluje,T,Texas Christian,4,"$2,411,364","$131,364","$131,364","$467,841"
2015,Jon Feliciano,OG,6,4,76,323,5.33,4.74,0,26.5,97,0,Miami,4.8,128,OAK,Jon Feliciano,G,23,2015,3,Miami (FL),128,"OAKfrom IND 
via TB",Jon Feliciano,G,Miami (FL),4,"$2,740,652","$460,652","$460,652","$550,163"
2015,Jake Fisher,OT,6,6,78,306,5.01,4.33,7.25,32.5,0,25,Oregon,5.7,53,CIN,Jake Fisher,T,22,2015,12,Oregon,53,CIN,Jake Fisher,LT,Oregon,4,"$4,259,520","$1,357,833","$1,986,448","$774,458"
2015,Ereck Flowers,OT,6,6,78,329,5.31,0,0,0,0,37,Miami,6,9,NYG,Ereck Flowers,T,21,2015,11,Miami (FL),9,NYG,Ereck Flowers,LT,Miami (FL),4,"$14,391,719","$8,726,705","$14,391,719","$2,616,676"
2015,Trey Flowers,DE,6,2,74,266,4.93,4.4,7.34,36.5,121,28,Arkansas,5.6,101,NWE,Trey Flowers,DE,22,2015,1,Arkansas,101,NEfrom TB,Trey Flowers,DE,Arkansas,4,"$2,838,932","$558,932","$558,932","$574,733"
2015,Jalston Fowler,FB,5,11,71,254,4.94,4.4,7.56,33.5,114,23,Alabama,5.1,108,TEN,Jalston Fowler,FB,25,2015,12,Alabama,108,TENfrom NYG,Jalston Fowler,FB,Alabama,4,"$2,817,716","$537,716","$537,716","$569,429"
2015,Devin Funchess,WR,6,4,76,232,4.7,0,0,38.5,122,17,Michigan,5.6,41,CAR,Devin Funchess,TE,21,2015,12,Michigan,41,CARfrom STL,Devin Funchess,WR,Michigan,4,"$5,520,887","$2,275,190","$2,961,140","$1,003,797"
2015,Charles Gaines,CB,5,10,70,180,4.44,4.2,7.07,34.5,123,0,Louisville,5.5,189,CLE,Charles Gaines,CB,22,2015,3,Louisville,189,CLE,Charles Gaines,CB,Louisville,4,"$2,402,137","$122,137","$122,137","$465,534"
2015,Andy Gallik,C,6,2,74,306,5.5,4.58,7.66,27,96,29,Boston College,5.5,208,TEN,Andy Gallik,C,24,2015,9,Boston Col.,208,TENfrom NE,Andy Gallik,C,Boston College,4,"$2,381,473","$101,473","$101,473","$460,368"
2015,Max Garcia,C,6,4,76,309,0,0,0,0,0,0,Florida,5.2,133,DEN,Max Garcia,C,,2015,11,Florida,133 (C),DEN,Max Garcia,G,Florida,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Clayton Geathers,SS,6,2,74,218,4.55,4.27,7.21,37,120,22,Central Florida,5.2,109,IND,Clayton Geathers,SS,23,2015,11,Central Florida,109,"INDfrom STL 
via TB",Clayton Geathers,FS,Central Florida,4,"$2,813,930","$533,930","$533,930","$568,482"
2015,Laurence Gibson,OT,6,6,78,305,5.04,4.56,7.72,33.5,113,24,Virginia Tech,4.9,243,DAL,Laurence Gibson,T,24,,,Virginia Tech,243,DALfrom BAL,Laurence Gibson,T,Virginia Tech,4,"$2,336,353","$56,353","$56,353","$449,088"
2015,Mark Glowinski,OG,6,4,76,307,5.2,4.58,7.56,29.5,113,31,West Virginia,5.4,134,SEA,Mark Glowinski,G,23,2015,5,West Virginia,134 (C),SEA,Mark Glowinski,G,West Virginia,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Markus Golden,DE,6,2,74,260,4.9,0,0,0,0,0,Missouri,5.5,58,ARI,Markus Golden,DE,24,2015,12,Missouri,58,ARIfrom BAL,Markus Golden,OLB,Missouri,4,"$3,918,330","$1,109,695","$1,722,802","$712,424"
2015,Eddie Goldman,DT,6,4,76,336,0,0,0,0,0,0,Florida St.,6.1,39,CHI,Eddie Goldman,DT,21,2015,12,Florida St.,39,CHI,Eddie Goldman,DT,Florida State,4,"$5,686,314","$2,395,501","$3,088,970","$1,033,875"
2015,Senquez Golson,CB,5,9,69,176,4.46,4.2,6.81,33.5,120,15,Mississippi,5.8,56,PIT,Senquez Golson,CB,22,,,Mississippi,56,PIT,Senquez Golson,CB,Mississippi,4,"$4,001,041","$1,169,848","$1,786,713","$727,462"
2015,Melvin Gordon,RB,6,1,73,215,4.52,4.07,7.04,35,126,19,Wisconsin,6.2,15,SDG,Melvin Gordon,RB,22,2015,12,Wisconsin,15,SDfrom SF,Melvin Gordon,RB,Wisconsin,4,"$10,669,773","$6,019,835","$10,669,773","$1,939,958"
2015,Doran Grant,CB,5,10,70,200,4.44,4.33,0,33,116,21,Ohio St.,5.3,121,PIT,Doran Grant,CB,22,,,Ohio St.,121,PIT,Doran Grant,CB,Ohio State,4,"$2,769,013","$489,013","$489,013","$557,253"
2015,Hroniss Grasu,C,6,3,75,297,0,0,0,0,0,0,Oregon,5.7,71,CHI,Hroniss Grasu,C,24,2015,5,Oregon,71,CHI,Hroniss Grasu,C,Oregon,4,"$3,258,919","$761,919","$761,919","$625,479"
2015,Garrett Grayson,QB,6,2,74,213,0,0,0,0,0,0,Colorado St.,5.4,75,NOR,Garrett Grayson,QB,24,2015,1,Colorado St.,75,NO,Garrett Grayson,QB,Colorado State,4,"$3,400,605","$733,167","$733,167","$618,291"
2015,Chaz Green,OT,6,5,77,314,5.16,4.7,8,29.5,106,21,Florida,5.1,91,DAL,Chaz Green,T,23,,,Florida,91,DAL,Chaz Green,T,Florida,4,"$2,951,326","$624,371","$624,371","$591,092"
