year,name,position,heightfeet,heightinches,heightinchestotal,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,nflgrade,Pick,Tm,Name,Pos,Age,To,G,College/Univ,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Dorial Green-Beckham,WR,6,5,77,237,4.49,4.45,6.89,33.5,119,13,Missouri,5.7,40,TEN,Dorial Green-Beckham,WR,22,2015,12,Oklahoma,40,TENfrom NYG,Dorial Green-Beckham,WR,Missouri,4,"$5,603,597","$2,335,344","$3,025,053","$1,018,836"
2015,Rashad Greene,WR,5,11,71,182,4.53,4.12,6.88,36.5,122,0,Florida St.,5.7,139,JAX,Rashad Greene,WR,23,2015,5,Florida St.,139,JAC,Rashad Greene,WR,Florida State,4,"$2,523,814","$243,814","$243,814","$495,953"
2015,Randy Gregory,OLB,6,5,77,235,4.64,0,0,36.5,125,24,Nebraska,6.4,60,DAL,Randy Gregory,OLB,22,2015,8,Nebraska,60,DAL,Randy Gregory,OLB,Nebraska,4,"$3,814,936","$1,034,499","$1,404,499","$693,624"
2015,Todd Gurley,RB,6,1,73,222,0,0,0,0,0,17,Georgia,6.3,10,STL,Todd Gurley,RB,21,2015,10,Georgia,10,STL,Todd Gurley,RB,Georgia,4,"$13,823,183","$8,313,224","$9,376,550","$2,513,306"
2015,Obum Gwacham,DE,6,5,77,246,4.72,4.28,7.28,36,121,22,Oregon St.,5.2,209,SEA,Obum Gwacham,DE,24,2015,5,Oregon St.,209 (C),SEA,Obum Gwacham,DE,Oregon State,4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Bryce Hager,ILB,6,1,73,234,4.6,4.36,7.15,35,117,26,Baylor,5.1,224,STL,Bryce Hager,ILB,23,2015,12,Baylor,224,"STLfrom CHI 
via NYJ",Bryce Hager,ILB,Baylor,4,"$2,352,141","$72,141","$72,141","$453,035"
2015,Marcus Hardison,DE,6,3,75,307,0,0,0,0,0,27,Arizona State,5.6,135,CIN,Marcus Hardison,DE,23,,,Arizona St.,135 (C),CIN,Marcus Hardison,DE,Arizona State,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Justin Hardy,WR,5,10,70,192,4.56,4.21,6.63,36.5,114,11,East Carolina,5.4,107,ATL,Justin Hardy,WR,23,2015,5,East Carolina,107,ATL,Justin Hardy,WR,East Carolina,4,"$2,820,821","$540,821","$540,821","$570,205"
2015,Eli Harold,OLB,6,3,75,247,4.6,4.16,7.07,35,123,0,Virginia,5.9,79,SFO,Eli Harold,OLB,21,2015,12,Virginia,79,SF,Eli Harold,LB,Virginia,4,"$3,168,585","$697,373","$697,373","$624,343"
2015,Jarvis Harrison,OG,6,4,76,330,5.19,4.62,7.51,29.5,102,26,Texas A&M,5.7,152,NYJ,Jarvis Harrison,G,23,,,Texas A&M,152,NYJfrom HOU,Jarvis Harrison,G,Texas A&M,4,"$2,499,847","$219,847","$219,847","$489,962"
2015,Bobby Hart,OG,6,5,77,329,0,0,0,0,0,0,Florida St.,5.1,226,NYG,Bobby Hart,G,21,2015,5,Florida St.,226,NYG,Bobby Hart,G,Florida State,4,"$2,351,589","$71,589","$71,589","$452,897"
2015,Rob Havenstein,OT,6,7,79,321,5.46,4.87,8.28,28.5,96,16,Wisconsin,5.8,57,STL,Rob Havenstein,T,,2015,9,Wisconsin,57,STLfrom CAR,Rob Havenstein,RT,Wisconsin,4,"$3,970,021","$1,147,288","$1,762,743","$721,822"
2015,Ben Heeney,ILB,6,0,72,231,4.59,4,6.68,33.5,120,19,Kansas,5.2,140,OAK,Ben Heeney,ILB,22,2015,11,Kansas,140,OAK,Ben Heeney,ILB,Kansas,4,"$2,522,724","$242,724","$242,724","$495,681"
2015,Amarlo Herrera,ILB,6,1,73,244,4.83,4.27,7.35,32,111,23,Georgia,5.1,207,IND,Amarlo Herrera,ILB,24,2015,1,Georgia,207,INDfrom SEA,Amarlo Herrera,ILB,Georgia,4,"$2,384,656","$104,656","$104,656","$461,164"
2015,Jeff Heuerman,TE,6,5,77,254,0,0,0,0,0,26,Ohio St.,5.4,92,DEN,Jeff Heuerman,TE,22,,,Ohio St.,92,DEN,Jeff Heuerman,TE,Ohio State,4,"$2,968,477","$620,806","$620,806","$590,201"
2015,Jordan Hicks,OLB,6,1,73,236,4.68,4.15,6.78,38,124,20,Texas,5.4,84,PHI,Jordan Hicks,OLB,23,2015,8,Texas,84,PHI,Jordan Hicks,OLB,Texas,4,"$2,992,732","$652,732","$652,732","$598,183"
2015,Kenny Hilliard,RB,6,0,72,226,4.83,4.4,7.17,27,111,0,LSU,4.8,235,HOU,Kenny Hilliard,RB,23,,,LSU,235,HOU,Kenny Hilliard,RB,Louisiana State,4,"$2,345,379","$65,379","$65,379","$451,344"
2015,Gerod Holliman,FS,6,0,72,218,0,0,0,0,0,17,Louisville,5.5,239,PIT,Gerod Holliman,FS,21,,,Louisville,239,PIT,Gerod Holliman,FS,Louisville,4,"$2,338,515","$58,515","$58,515","$449,628"
2015,D.J. Humphries,OT,6,5,77,307,5.12,4.64,7.87,31,104,26,Florida,5.8,24,ARI,D.J. Humphries,T,21,,,Florida,24,ARI,D.J. Humphries,RT,Florida,4,"$8,912,112","$4,741,536","$7,261,824","$1,620,384"
2015,Brett Hundley,QB,6,3,75,226,4.63,3.98,6.93,36,120,0,UCLA,5.5,147,GNB,Brett Hundley,QB,22,,,UCLA,147,"GBfrom CLE 
via NE",Brett Hundley,QB,California-Los Angeles,4,"$2,503,633","$223,633","$223,633","$490,908"
2015,Danielle Hunter,DE,6,5,77,252,4.57,0,0,0,0,25,LSU,5.7,88,MIN,Danielle Hunter,DE,20,2015,10,LSU,88,MINfrom DET,Danielle Hunter,DE,Louisiana State,4,"$3,077,390","$627,223","$627,223","$591,805"
2015,Martin Ifedi,DE,6,3,75,275,4.88,4.58,7.39,31,111,16,Memphis,5,227,STL,Martin Ifedi,DE,24,,,Memphis,227,STL,Martin Ifedi,DE,Memphis,4,"$2,351,097","$71,097","$71,097","$452,774"
2015,Joey Iosefa,RB,6,0,72,247,5.02,4.33,7.24,31.5,110,30,Hawaii,4.8,231,TAM,Joey Iosefa,FB,24,,,Hawaii,231,"TBfrom MIA 
via BAL 
via DET",Joey Iosefa,FB,Hawaii,4,"$2,348,340","$68,340","$68,340","$452,085"
2015,Tre' Jackson,OG,6,4,76,330,5.52,0,0,25,96,0,Florida St.,5.7,111,NWE,Tre' Jackson,G,22,2015,9,Florida St.,111,NEfrom CLE,Tre' Jackson,G,Florida State,4,"$2,803,740","$523,740","$523,740","$565,935"
2015,Jesse James,TE,6,7,79,261,4.83,4.5,0,37.5,121,26,Penn St.,5.1,160,PIT,Jesse James,TE,21,2015,4,Penn St.,160,PIT,Jesse James,TE,Penn State,4,"$2,488,912","$208,912",$208,"$487,228"
2015,Grady Jarrett,NT,6,1,73,304,5.06,4.56,7.37,31,112,30,Clemson,5.8,137,ATL,Grady Jarrett,NT,22,2015,12,Clemson,137,"ATLfrom TB 
via BUF 
via MIN",Grady Jarrett,DT,Clemson,4,"$2,527,853","$247,853","$247,853","$496,963"
2015,Kyshoen Jarrett,SS,5,10,70,200,4.57,4.4,6.95,33,109,21,Virginia Tech,5.2,181,WAS,Kyshoen Jarrett,SS,22,2015,12,Virginia Tech,181,"WASfrom NYJ 
via SEA",Kyshoen Jarrett,FS,Virginia Tech,4,"$2,415,630","$135,630","$135,630","$468,907"
2015,David Johnson,RB,6,1,73,224,4.5,4.27,6.82,41.5,127,25,Northern Iowa,5.3,86,ARI,David Johnson,RB,23,2015,12,Northern Iowa,86,ARI,David Johnson,RB,Northern Iowa,4,"$3,003,958","$639,373","$639,373","$594,843"
2015,Duke Johnson,RB,5,9,69,207,4.54,0,0,33.5,121,0,Miami,5.9,77,CLE,Duke Johnson,RB,22,2015,12,Miami (FL),77,CLE,Duke Johnson,RB,Miami (FL),4,"$3,075,092","$710,092","$710,092","$612,523"
2015,Kevin Johnson,CB,6,0,72,188,4.52,3.89,6.79,41.5,130,0,Wake Forest,5.9,16,HOU,Kevin Johnson,CB,23,2015,12,Wake Forest,16,HOU,Kevin Johnson,CB,Wake Forest,4,"$10,049,413","$5,568,664","$10,049,413","$1,827,166"
2015,Byron Jones,CB,6,1,73,199,0,3.94,6.78,44.5,147,0,Connecticut,5.3,27,DAL,Byron Jones,CB,23,2015,12,Connecticut,27,DAL,Byron Jones,CB,Connecticut,4,"$8,601,941","$4,515,957","$6,993,950","$1,563,989"
2015,Matt Jones,RB,6,2,74,231,4.61,4.2,0,31.5,112,20,Florida,5.3,95,WAS,Matt Jones,RB,22,2015,11,Florida,95,WASfrom SEA,Matt Jones,RB,Florida,4,"$2,951,415","$599,415","$599,415","$584,853"
2015,Eric Kendricks,ILB,6,0,72,232,4.61,0,0,38,124,19,UCLA,5.8,45,MIN,Eric Kendricks,ILB,23,2015,10,UCLA,45,MIN,Eric Kendricks,ILB,California-Los Angeles,4,"$5,155,920","$2,009,760","$2,679,120","$937,440"
2015,Hau'oli Kikaha,OLB,6,2,74,253,0,0,0,0,0,0,Washington,5.8,44,NOR,Hau'oli Kikaha,OLB,23,2015,11,Washington,44,NO,Hau'oli Kikaha,OLB,Washington,4,"$5,266,310","$2,090,044","$2,764,422","$957,511"
2015,Arie Kouandjio,OG,6,5,77,310,0,0,0,0,0,0,Alabama,5.3,112,WAS,Arie Kouandjio,G,23,2015,3,Alabama,112,"WASfrom NO 
via SEA",Arie Kouandjio,G,Alabama,4,"$2,801,670","$521,670","$521,670","$565,417"
2015,Ben Koyack,TE,6,5,77,255,0,0,0,0,0,0,Notre Dame,5.4,229,JAX,Ben Koyack,TE,22,,,Notre Dame,229,"JACfrom CLE 
via HOU 
via NYJ",Ben Koyack,TE,Notre Dame,4,"$2,349,298","$69,298","$69,298","$452,324"
2015,Tyler Kroft,TE,6,5,77,246,0,0,0,0,0,17,Rutgers,5.4,85,CIN,Tyler Kroft,TE,22,2015,12,Rutgers,85,CIN,Tyler Kroft,TE,Rutgers,4,"$2,971,276","$647,776","$647,776","$596,944"
2015,Jeremy Langford,RB,6,0,72,208,4.42,4.32,7.22,34.5,118,0,Michigan St.,5.3,106,CHI,Jeremy Langford,RB,23,2015,12,Michigan St.,106,CHI,Jeremy Langford,RB,Michigan State,4,"$2,823,623","$543,623","$543,623","$570,906"
2015,Dezmin Lewis,WR,6,4,76,214,4.58,4.28,7.11,33.5,119,16,Central Arkansas,5.3,234,BUF,Dezmin Lewis,WR,22,,,Central Arkansas,234,BUF,Dezmin Lewis,WR,Central Arkansas,4,"$2,346,529","$66,529","$66,529","$451,632"
2015,Tony Lippett,WR,6,2,74,192,4.61,4.13,6.92,36,114,10,Michigan St.,5.4,156,MIA,Tony Lippett,WR,23,2015,5,Michigan St.,156,MIAfrom PHI,Tony Lippett,WR,Michigan State,4,"$2,494,763","$214,763","$214,763","$488,690"
2015,Tyler Lockett,WR,5,10,70,182,4.4,4.07,6.89,35.5,121,0,Kansas St.,5.5,69,SEA,Tyler Lockett,WR,23,2015,12,Kansas St.,69,SEAfrom WAS,Tyler Lockett,WR,Kansas State,4,"$3,318,751","$786,751","$786,751","$631,687"
2015,Craig Mager,CB,5,11,71,201,4.44,4.07,6.83,38,130,17,Texas St.,5.4,83,SDG,Craig Mager,CB,23,2015,6,Texas St.,83,SD,Craig Mager,CB,Texas State,4,"$3,302,170","$661,578","$661,578","$600,394"
2015,Sean Mannion,QB,6,6,78,229,5.14,4.39,7.29,31,105,0,Oregon St.,5.3,89,STL,Sean Mannion,QB,23,2015,1,Oregon St.,89,STLfrom CAR,Sean Mannion,QB,Oregon State,4,"$3,075,536","$625,797","$625,797","$591,449"
2015,Marcus Mariota,QB,6,4,76,222,4.52,4.11,6.87,36,121,0,Oregon,6.4,2,TEN,Marcus Mariota,QB,21,2015,10,Oregon,2,TEN,Marcus Mariota,QB,Oregon,4,"$24,213,974","$15,870,164","$24,213,976","$4,402,541"
2015,Ali Marpet,C,6,4,76,307,4.98,4.47,7.33,30.5,108,30,Hobart & William Smith,5.4,61,TAM,Ali Marpet,C,22,2015,9,Hobart,61,TBfrom IND,Ali Marpet,G,Hobart,4,"$3,773,586","$1,004,424","$1,004,424","$686,106"
2015,Lorenzo Mauldin,OLB,6,4,76,259,4.85,4.58,7.47,32,112,23,Louisville,5.7,82,NYJ,Lorenzo Mauldin,OLB,22,2015,11,Louisville,82,NYJfrom HOU,Lorenzo Mauldin,LB,Louisville,4,"$3,008,018","$674,017","$674,017","$603,504"
2015,Vince Mayle,WR,6,2,74,224,4.67,4.13,6.93,35.5,117,0,Washington St.,5.6,123,CLE,Vince Mayle,WR,,2015,1,Washington St.,123,CLEfrom ARI,Vince Mayle,WR,Washington State,4,"$2,763,152","$483,152","$483,152","$555,788"
2015,Tre McBride,WR,6,0,72,210,4.41,4.08,6.96,38,122,16,William & Mary,5.3,245,TEN,Tre McBride,WR,22,2015,3,William & Mary,245,"TENfrom DEN 
via NYG",Tre McBride,WR,William & Mary,4,"$2,335,433","$55,433","$55,433","$448,858"
2015,Bobby McCain,CB,5,9,69,195,4.51,3.82,6.8,36,130,17,Memphis,5.3,145,MIA,Bobby McCain,CB,22,2015,12,Memphis,145,"MIAfrom STL 
via PHI",Bobby McCain,CB,Memphis,4,"$2,508,288","$228,288","$228,288","$492,072"
2015,Benardrick McKinney,ILB,6,4,76,246,4.66,4.27,7.21,40.5,121,16,Mississippi St.,6,43,HOU,Benardrick McKinney,ILB,,2015,10,Mississippi St.,43,HOUfrom CLE,Benardrick McKinney,OLB,Mississippi State,4,"$5,345,124","$2,147,363","$2,825,324","$971,840"
2015,John Miller,OG,6,2,74,303,5.33,4.75,8.2,27,104,29,Louisville,5.5,81,BUF,John Miller,G,22,2015,8,Louisville,81,BUF,John Miller,G,Louisville,4,"$2,960,120","$680,120","$680,120","$605,030"
2015,Ty Montgomery,WR,6,0,72,221,4.55,4.21,6.97,40.5,121,0,Stanford,5.6,94,GNB,Ty Montgomery,WR,22,2015,6,Stanford,94,GB,Ty Montgomery,WR,Stanford,4,"$2,948,795","$606,545","$606,545","$586,636"
2015,Mitch Morse,OG,6,5,77,305,5.14,4.5,7.6,31,112,36,Missouri,5.2,49,KAN,Mitch Morse,G,23,2015,11,Missouri,49,KC,Mitch Morse,C,Missouri,4,"$4,673,076","$1,658,598","$2,281,017","$849,649"
2015,Keith Mumphery,WR,6,0,72,215,4.54,4.25,7.07,32.5,121,0,Michigan St.,4.8,175,HOU,Keith Mumphery,WR,23,2015,12,Michigan St.,175 (C),HOU,Keith Mumphery,WR,Michigan State,4,"$2,446,254","$166,254","$166,254","$476,563"
2015,Marcus Murphy,RB,5,8,68,193,4.61,4.4,0,29,109,11,Missouri,5.3,230,NOR,Marcus Murphy,RB,23,2015,12,Missouri,230,NO,Marcus Murphy,RB,Missouri,4,"$2,349,289","$69,289","$69,289","$452,322"
2015,Robert Myers,OG,6,5,77,326,5.44,4.91,8.1,27.5,94,0,Tennessee St.,5.2,176,BAL,Robert Myers,G,23,,,Tennessee St.,176 (C),BAL,Robert Myers,G,Tennessee State,4,"$2,446,254","$166,254","$166,254","$476,563"
2015,Steven Nelson,CB,5,10,70,197,4.49,4.07,6.88,34.5,115,19,Oregon St.,5.4,98,KAN,Steven Nelson,CB,22,2015,8,Oregon St.,98 (C),KC,Steven Nelson,CB,Oregon State,4,"$2,917,452","$581,952","$581,952","$580,488"
2015,Rakeem Nunez-Roches,DT,6,2,74,307,5.02,4.69,7.67,34,114,26,Southern Miss,5.1,217,KAN,Rakeem Nunez-Roches,DT,22,2015,7,Southern Miss,217 (C),KC,Rakeem Nunez-Roches,DT,Southern Mississippi,4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Mark Nzeocha,OLB,6,2,74,232,0,0,0,0,0,24,Wyoming,5.1,236,DAL,Mark Nzeocha,OLB,25,,,Wyoming,236,DALfrom SD,Mark Nzeocha,OLB,Wyoming,4,"$2,344,349","$64,349","$64,349","$451,087"
2015,Nick O'Leary,TE,6,3,75,252,4.93,4.5,0,30.5,110,21,Florida St.,5.4,194,BUF,Nick O'Leary,TE,23,,,Florida St.,194,BUF,Nick O'Leary,TE,Florida State,4,"$2,399,690","$119,690","$119,690","$464,922"
2015,Owamagbe Odighizuwa,DE,6,3,75,267,4.62,4.19,7.36,39,127,25,UCLA,5.7,74,NYG,Owamagbe Odighizuwa,DE,23,2015,4,UCLA,74,NYG,Owamagbe Odighizuwa,DE,California-Los Angeles,4,"$3,160,501","$740,500","$740,500","$620,125"
2015,Cedric Ogbuehi,OT,6,5,77,306,0,0,0,0,0,23,Texas A&M,5.9,21,CIN,Cedric Ogbuehi,T,23,2015,1,Texas A&M,21,CIN,Cedric Ogbuehi,LT,Texas A&M,4,"$9,325,677","$5,042,310",-,"$1,695,577"
2015,Nate Orchard,DE,6,3,75,250,4.8,4.43,7.28,31.5,115,0,Utah,5.8,51,CLE,Nate Orchard,DE,22,2015,11,Utah,51,CLEfrom HOU,Nate Orchard,DT,Utah,4,"$4,466,303","$1,508,220","$2,146,234","$812,055"
2015,DeVante Parker,WR,6,3,75,209,4.45,0,0,36.5,125,17,Louisville,6.2,14,MIA,DeVante Parker,WR,22,2015,11,Louisville,14,MIA,DeVante Parker,WR,Louisville,4,"$10,876,543","$6,170,213","$10,876,543","$1,977,553"
2015,David Parry,NT,6,1,73,308,5.38,0,0,29,103,34,Stanford,5.4,151,IND,David Parry,NT,23,2015,12,Stanford,151,INDfrom SF,David Parry,DT,Stanford,4,"$2,500,008","$220,008","$220,008","$490,002"
2015,Andrus Peat,OT,6,7,79,313,5.18,4.62,8.01,31,105,0,Stanford,6.2,13,NOR,Andrus Peat,T,21,2015,9,Stanford,13,NO,Andrus Peat,LT,Stanford,4,"$11,393,496","$6,546,179","$11,393,496","$2,071,544"
2015,Breshad Perriman,WR,6,2,74,212,0,0,0,0,0,0,Central Florida,5.8,26,BAL,Breshad Perriman,WR,22,,,Central Florida,26,BAL,Breshad Perriman,WR,Central Florida,4,"$8,705,317","$4,591,139","$7,083,227","$1,582,784"
2015,Denzel Perryman,ILB,5,11,71,236,4.78,0,0,32,113,27,Miami,5.7,48,SDG,Denzel Perryman,ILB,21,2015,10,Miami (FL),48,SD,Denzel Perryman,ILB,Miami (FL),4,"$4,776,474","$1,733,799","$2,385,912","$868,449"
2015,Marcus Peters,CB,6,0,72,197,4.53,4.08,7.08,37.5,121,17,Washington,5.8,18,KAN,Marcus Peters,CB,22,2015,12,Washington,18,KC,Marcus Peters,CB,Washington,4,"$9,584,157","$5,230,296","$9,584,157","$1,742,574"
2015,Bryce Petty,QB,6,3,75,230,4.87,4.13,6.91,34,121,0,Baylor,5.3,103,NYJ,Bryce Petty,QB,24,,,Baylor,103,NYJfrom JAC,Bryce Petty,QB,Baylor,4,"$2,833,697","$553,697","$553,697","$573,424"
2015,Jordan Phillips,NT,6,5,77,329,5.17,4.68,7.88,30,105,28,Oklahoma,6.2,52,MIA,Jordan Phillips,NT,23,2015,11,Oklahoma,52,MIAfrom PHI,Jordan Phillips,DT,Oklahoma,4,"$4,362,908","$1,433,024","$2,066,338","$793,256"
2015,Darius Philon,DT,6,1,73,298,5,0,8,31,107,26,Arkansas,5.4,192,SDG,Darius Philon,DT,21,2015,4,Arkansas,192,SD,Darius Philon,DT,Arkansas,4,"$2,400,587","$120,587","$120,587","$465,146"
2015,Bradley Pinion,P,6,5,77,229,0,0,0,0,0,0,Clemson,5,165,SFO,Bradley Pinion,P,21,2015,12,Clemson,165,SFfrom IND,Bradley Pinion,P,Clemson,4,"$2,474,200","$194,200","$194,200","$483,550"
2015,Terry Poole,OG,6,5,77,307,5.09,4.66,7.9,31,113,25,San Diego St.,5,130,SEA,Terry Poole,G,23,,,San Diego St.,130,SEA,Terry Poole,G,San Diego State,4,"$2,730,251","$450,251","$450,251","$547,562"
2015,Jeremiah Poutasi,OG,6,5,77,335,5.32,4.89,8.09,26.5,95,26,Utah,5.4,66,TEN,Jeremiah Poutasi,G,21,2015,9,Utah,66,TEN,Jeremiah Poutasi,G,Utah,4,"$3,385,844","$802,259","$802,259","$635,564"
2015,MyCole Pruitt,TE,6,2,74,251,4.58,4.37,0,38,118,17,Southern Illinois,5,143,MIN,MyCole Pruitt,TE,23,2015,12,Southern Illinois,143,"MINfrom CHI 
via DEN 
via DET",MyCole Pruitt,TE,Southern Illinois,4,"$2,510,588","$230,588","$230,588","$492,647"
2015,Hayes Pullard,ILB,6,0,72,240,4.78,4.39,7.07,31,110,19,USC,5.4,219,CLE,Hayes Pullard,ILB,,2015,4,USC,219,"CLEfrom TEN 
via NE",Hayes Pullard,ILB,Southern California,4,"$2,359,240","$79,240","$79,240","$454,810"
2015,Damarious Randall,FS,5,11,71,196,4.46,4.07,6.83,38,120,14,Arizona State,5.4,30,GNB,Damarious Randall,FS,23,2015,11,Arizona St.,30,GB,Damarious Randall,CB,Arizona State,4,"$7,915,734","$4,016,897","$5,966,315","$1,439,224"
2015,Shane Ray,DE,6,3,75,245,0,0,0,0,0,21,Missouri,6.8,23,DEN,Shane Ray,DE,22,2015,10,Missouri,23,DENfrom DET,Shane Ray,DE,Missouri,4,"$9,118,894","$4,891,923","$7,440,410","$1,657,980"
2015,Jordan Richards,SS,5,11,71,211,4.65,4.22,6.74,32,111,13,Stanford,5.2,64,NWE,Jordan Richards,SS,22,2015,10,Stanford,64,NE,Jordan Richards,SS,Stanford,4,"$3,711,548","$959,307","$1,159,307","$674,827"
2015,Corey Robinson,OT,6,7,79,324,0,0,0,0,0,28,South Carolina,5.3,240,DET,Corey Robinson,T,23,2015,1,South Carolina,240,DET,Corey Robinson,T,South Carolina,4,"$2,337,908","$57,908","$57,908","$449,477"
2015,Edmond Robinson,OLB,6,3,75,245,4.61,4.38,7.49,37,121,20,Newberry,4.8,232,MIN,Edmond Robinson,OLB,23,2015,5,Newberry,232,"MINfrom SF 
via MIA",Edmond Robinson,OLB,Newberry,4,"$2,348,314","$68,314","$68,314","$452,078"
