Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Arizona Cardinals,5,11,0,0.313,289,434,-145,-9.1,-3.6,-12.7,-5.6,-7.1,27,Arizona Cardinals,16,289,4309,931,4.6,35,16,241,285,561,2921,10,19,4.8,154,320,1388,9,4.3,67,108,870,20,23.7,15.8,-170.67,31,Arizona Cardinals,16,285,561,50.8,2921,10,1.8,19,3.4,74,5.8,4.7,11.5,182.6,60.5,,50,343,4.8,3.7,8.2,2,3,-140.71,32,Arizona Cardinals,16,320,1388,9,80,4.3,86.8,33,-23.61,1,Arizona Cardinals,16,42,294,0,25,7,84,2084,2,102,24.8,7132,11,Arizona Cardinals,16,,,8,8,6,6,10,8,3,2,27,24,88.9%,29,29,100.0%,94,4080,65,0,43.4,27,Arizona Cardinals,16,9,10,,2,7,3,,31,1,2,29,29,24,27,,289,18.1,13,Arizona Cardinals,16,190,958,23.7,15.8,5,22.7,Own 29.7,2:13,1.15
Atlanta Falcons,13,3,0,0.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,5,Atlanta Falcons,16,414,5458,1097,5,17,8,353,361,577,3567,28,9,5.9,200,497,1891,14,3.8,111,58,598,42,39.3,9,87.95,15,Atlanta Falcons,16,361,577,62.6,3567,28,4.9,9,1.6,46,6.5,6.7,10.3,222.9,90.8,,23,158,5.9,6.2,3.8,5,6,118.37,12,Atlanta Falcons,16,497,1891,14,55,3.8,118.2,12,-27.41,32,Atlanta Falcons,16,19,230,1,55,12.1,46,1221,1,102,26.5,7075,9,Atlanta Falcons,16,,,11,11,9,8,10,8,1,1,31,28,90.3%,44,44,100.0%,75,3015,61,1,40.2,5,Atlanta Falcons,16,14,28,1,1,1,2,,47,2,3,44,44,28,31,,414,25.9,27,Atlanta Falcons,16,178,1128,39.3,9,6.3,30.7,Own 31.1,2:57,2.12
Baltimore Ravens,12,4,0,0.75,357,270,87,5.4,1,6.4,0.9,5.5,16,Baltimore Ravens,16,357,5166,1018,5.1,20,10,303,308,491,3335,25,10,6.3,175,487,1831,11,3.8,97,90,673,31,32.8,9.5,22.55,20,Baltimore Ravens,16,308,491,62.7,3335,25,5.1,10,2,67,7.4,7.5,11.8,208.4,93.6,,40,294,6.3,6.4,7.5,2,4,89.23,14,Baltimore Ravens,16,487,1831,11,50,3.8,114.4,22,-54.86,19,Baltimore Ravens,16,43,319,0,35,7.4,55,1357,1,103,24.7,7128,12,Baltimore Ravens,16,,,11,11,9,8,8,7,1,,29,26,89.7%,39,39,100.0%,81,3532,60,0,43.6,16,Baltimore Ravens,16,11,25,,1,,3,,40,,0,39,39,26,29,,357,22.3,16,Baltimore Ravens,16,189,1047,32.8,9.5,5.5,27.2,Own 29.8,2:39,1.75
Buffalo Bills,4,12,0,0.25,283,425,-142,-8.9,4.3,-4.6,-1.5,-3.1,28,Buffalo Bills,16,283,4878,954,5.1,39,18,263,296,519,3158,24,21,5.7,166,401,1720,6,4.3,82,82,633,15,25.3,19.2,-85.67,24,Buffalo Bills,16,296,519,57,3158,24,4.6,21,4,65,6.5,5.6,11.4,197.4,75.2,,34,213,5.7,4.9,6.1,1,1,-43.29,18,Buffalo Bills,16,401,1720,6,39,4.3,107.5,33,-31.93,14,Buffalo Bills,16,32,336,0,34,10.5,69,1458,1,95,21.1,6943,31,Buffalo Bills,16,1,1,6,6,6,5,3,2,5,2,21,16,76.2%,32,31,96.9%,75,3180,61,0,42.4,28,Buffalo Bills,16,6,24,,1,1,2,,34,,2,31,32,16,21,,283,17.7,22,Buffalo Bills,16,182,975,25.3,19.2,5.4,26.8,Own 29.2,2:31,1.42
Carolina Panthers,2,14,0,0.125,196,408,-212,-13.3,0.1,-13.2,-9.1,-4.1,32,Carolina Panthers,16,196,4135,962,4.3,37,16,225,256,484,2289,9,21,4.3,125,428,1846,7,4.3,78,106,918,22,20.8,17.8,-219.41,32,Carolina Panthers,16,256,484,52.9,2289,9,1.9,21,4.3,88,5.4,3.9,10.3,143.1,57,,50,346,4.3,2.9,9.4,1,1,-143.05,13,Carolina Panthers,16,428,1846,7,60,4.3,115.4,31,-66.92,6,Carolina Panthers,16,39,373,0,37,9.6,74,1619,0,64,21.9,6432,20,Carolina Panthers,16,,,9,9,2,2,14,11,4,3,29,25,86.2%,17,17,100.0%,95,4094,60,0,43.1,32,Carolina Panthers,16,7,9,,,,1,,17,,0,17,17,25,29,1,196,12.3,7,Carolina Panthers,16,197,991,20.8,17.8,5,20.7,Own 28.7,2:14,0.95
Chicago Bears,11,5,0,0.688,334,286,48,3,1.1,4.1,-0.6,4.7,21,Chicago Bears,16,334,4631,936,4.9,31,10,263,276,466,3015,23,21,5.8,163,414,1616,10,3.9,76,91,768,24,29.3,15.7,-93.46,28,Chicago Bears,16,276,466,59.2,3015,23,4.9,21,4.5,89,7.3,6.2,12.3,188.4,79.5,,56,382,5.8,4.8,10.7,4,4,-35.91,22,Chicago Bears,16,414,1616,10,68,3.9,101,19,-44.87,21,Chicago Bears,16,33,564,3,89,17.1,59,1497,0,79,25.4,7075,14,Chicago Bears,16,1,1,9,9,9,8,7,4,4,3,30,25,83.3%,35,35,100.0%,83,3328,56,0,40.1,21,Chicago Bears,16,10,23,3,,,1,,37,1,2,35,35,25,30,,334,20.9,6,Chicago Bears,16,198,966,29.3,15.7,4.9,23.4,Own 33.7,2:23,1.55
Cincinnati Bengals,4,12,0,0.25,322,395,-73,-4.6,3.1,-1.4,0.4,-1.9,22,Cincinnati Bengals,16,322,5289,1046,5.1,34,14,317,365,590,3767,26,20,6.1,206,428,1522,8,3.6,85,90,725,26,30.5,16.3,-37.44,13,Cincinnati Bengals,16,365,590,61.9,3767,26,4.4,20,3.4,78,6.8,6.1,10.9,235.4,82.4,,28,221,6.1,5.5,4.5,1,1,49.8,27,Cincinnati Bengals,16,428,1522,8,42,3.6,95.1,21,-81.08,9,Cincinnati Bengals,16,36,258,0,27,7.2,71,1551,0,60,21.8,7385,27,Cincinnati Bengals,16,1,1,12,10,9,9,5,2,4,2,31,24,77.4%,32,30,93.8%,72,2995,72,1,41.6,22,Cincinnati Bengals,16,8,26,,,1,1,,36,2,4,30,32,24,31,,322,20.1,15,Cincinnati Bengals,16,190,1077,30.5,16.3,5.7,27.9,Own 31.2,2:38,1.63
Cleveland Browns,5,11,0,0.313,271,332,-61,-3.8,2.3,-1.5,-3.4,2,31,Cleveland Browns,16,271,4635,927,5,29,11,265,296,478,2989,13,18,5.8,154,413,1646,13,4,87,78,675,24,27.7,15.8,-59.78,29,Cleveland Browns,16,296,478,61.9,2989,13,2.7,18,3.8,65,6.7,5.6,10.8,186.8,75,,36,214,5.8,4.7,7,1,2,-22.4,20,Cleveland Browns,16,413,1646,13,68,4,102.9,29,-28.21,23,Cleveland Browns,16,22,235,0,62,10.7,70,1191,0,37,17,6288,28,Cleveland Browns,16,3,3,7,7,10,10,5,3,3,,28,23,82.1%,28,28,100.0%,78,3424,59,0,43.9,31,Cleveland Browns,16,13,13,,,1,2,,29,,1,28,28,23,28,,271,16.9,29,Cleveland Browns,16,177,955,27.7,15.8,5.4,26.1,Own 29.8,2:34,1.42
Dallas Cowboys,6,10,0,0.375,394,436,-42,-2.6,0.5,-2.2,2.5,-4.7,8,Dallas Cowboys,16,394,5828,1035,5.6,30,11,327,379,576,4042,29,19,6.7,201,428,1786,10,4.2,104,109,863,22,34.6,14.8,26.25,6,Dallas Cowboys,16,379,576,65.8,4042,29,5,19,3.3,71,7.3,6.8,11.1,252.6,90.4,,31,166,6.7,6.2,5.1,2,3,50.85,16,Dallas Cowboys,16,428,1786,10,60,4.2,111.6,28,-8.3,17,Dallas Cowboys,16,24,382,3,97,15.9,74,1572,0,43,21.2,7938,19,Dallas Cowboys,16,,,8,8,7,4,11,8,6,4,32,24,75.0%,44,42,95.5%,66,3115,65,1,47.2,8,Dallas Cowboys,16,10,29,3,,1,3,,46,2,2,42,44,24,32,,394,24.6,23,Dallas Cowboys,16,182,1067,34.6,14.8,5.9,31.8,Own 28.8,2:46,1.9
Denver Broncos,4,12,0,0.25,344,471,-127,-7.9,-1,-8.9,-1.1,-7.8,19,Denver Broncos,16,344,5582,1018,5.5,27,15,309,334,580,4038,25,12,6.5,204,398,1544,13,3.9,81,98,944,24,30.6,11.7,-15.18,7,Denver Broncos,16,334,580,57.6,4038,25,4.3,12,2.1,71,7.4,7.4,12.9,252.4,86.8,,40,269,6.5,6.4,6.5,2,2,58.91,26,Denver Broncos,16,398,1544,13,40,3.9,96.5,29,-64.53,26,Denver Broncos,16,31,323,0,33,10.4,59,1435,1,97,24.3,7657,10,Denver Broncos,16,,,4,4,10,10,8,6,3,2,25,22,88.0%,39,38,97.4%,86,3836,63,0,44.6,19,Denver Broncos,16,13,25,,1,1,,,40,,1,38,39,22,25,,344,21.5,10,Denver Broncos,16,196,1043,30.6,11.7,5.3,28.4,Own 27.5,2:18,1.69
Detroit Lions,6,10,0,0.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,15,Detroit Lions,16,362,5423,1064,5.1,25,9,304,383,633,3810,26,16,5.8,199,404,1613,11,4,83,136,1018,22,32.1,12.4,-15.31,12,Detroit Lions,16,383,633,60.5,3810,26,4.1,16,2.5,87,6.3,6,10.4,238.1,82,,27,191,5.8,5.5,4.1,4,3,24.52,23,Detroit Lions,16,404,1613,11,45,4,100.8,20,-34.08,25,Detroit Lions,16,30,362,0,71,12.1,61,1519,1,105,24.9,7529,7,Detroit Lions,16,,,4,4,7,7,13,9,6,5,30,25,83.3%,36,35,97.2%,90,4014,66,0,44.6,15,Detroit Lions,16,11,26,,1,1,2,,41,2,5,35,36,25,30,1,362,22.6,11,Detroit Lions,16,193,1094,32.1,12.4,5.7,28.1,Own 29.3,2:28,1.73
Green Bay Packers,10,6,0,0.625,388,240,148,9.3,1.7,10.9,3.1,7.9,10,Green Bay Packers,16,388,5730,1000,5.7,22,9,312,352,541,4124,31,13,7.1,204,421,1606,11,3.8,88,78,617,20,35,10.9,131.57,5,Green Bay Packers,16,352,541,65.1,4124,31,5.7,13,2.4,86,8,8.1,12.4,257.8,98.9,,38,231,7.1,7.2,6.6,0,1,177.59,24,Green Bay Packers,16,421,1606,11,71,3.8,100.4,20,-35.49,12,Green Bay Packers,16,41,325,0,52,7.9,62,1249,0,51,20.1,7567,17,Green Bay Packers,16,1,1,8,7,5,4,10,8,4,2,28,22,78.6%,46,46,100.0%,71,3110,62,0,43.8,10,Green Bay Packers,16,11,31,,,1,3,,46,,0,46,46,22,28,,388,24.3,21,Green Bay Packers,16,183,1028,35,10.9,5.6,31.3,Own 29.8,2:48,1.97
Houston Texans,6,10,0,0.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7,9,Houston Texans,16,390,6186,1029,6,18,6,360,365,574,4144,24,12,6.8,222,423,2042,20,4.8,118,90,690,20,39.7,10.1,131.89,4,Houston Texans,16,365,574,63.6,4144,24,4.2,12,2.1,60,7.6,7.5,12,259,92,,32,226,6.8,6.7,5.3,2,2,107.12,7,Houston Texans,16,423,2042,20,74,4.8,127.6,15,29.35,13,Houston Texans,16,35,235,0,39,6.7,67,1326,0,50,19.8,7970,26,Houston Texans,16,,,8,8,11,11,7,5,4,3,30,27,90.0%,43,43,100.0%,63,2652,60,0,42.1,9,Houston Texans,16,20,24,,,,,,44,1,1,43,43,27,30,,390,24.4,24,Houston Texans,16,179,1059,39.7,10.1,5.9,34.5,Own 25.6,2:38,2.17
Indianapolis Colts,10,6,0,0.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9,4,Indianapolis Colts,16,435,6092,1088,5.6,25,8,366,450,679,4609,33,17,6.6,253,393,1483,13,3.8,87,79,709,26,40.2,13.4,129.4,1,Indianapolis Colts,16,450,679,66.3,4609,33,4.9,17,2.5,73,6.9,6.8,10.4,288.1,91.9,,16,91,6.6,6.5,2.3,0,2,164.23,29,Indianapolis Colts,16,393,1483,13,49,3.8,92.7,14,-31.5,18,Indianapolis Colts,16,31,214,0,18,6.9,67,1310,1,41,19.6,7712,15,Indianapolis Colts,16,,,8,8,10,9,10,9,,,28,26,92.9%,51,51,100.0%,69,2912,66,0,42.2,4,Indianapolis Colts,16,13,33,,1,1,2,1,51,,0,51,51,26,28,,435,27.2,26,Indianapolis Colts,16,179,1116,40.2,13.4,6.2,34,Own 27.5,2:40,2.23
Jacksonville Jaguars,8,8,0,0.5,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3,18,Jacksonville Jaguars,16,353,5460,1019,5.4,33,12,330,291,469,3065,26,21,6,161,512,2395,14,4.7,148,83,675,21,35,16.9,52.89,27,Jacksonville Jaguars,16,291,469,62,3065,26,5.5,21,4.5,75,7.2,6.2,11.5,191.6,83.4,,38,291,6,5.2,7.5,1,5,20.91,3,Jacksonville Jaguars,16,512,2395,14,74,4.7,149.7,23,38.34,4,Jacksonville Jaguars,16,36,359,1,78,10,80,1903,0,65,23.8,8043,32,Jacksonville Jaguars,16,2,2,3,3,7,6,14,9,2,2,28,22,78.6%,41,41,100.0%,57,2497,63,0,43.8,18,Jacksonville Jaguars,16,14,26,1,,,,,41,,0,41,41,22,28,,353,22.1,28,Jacksonville Jaguars,16,177,1047,35,16.9,5.9,30.7,Own 30.2,2:53,1.95
