Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Kansas City Chiefs,10,6,0,0.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8,14,Kansas City Chiefs,16,366,5595,1063,5.3,14,6,319,274,475,2968,27,8,5.9,167,556,2627,13,4.7,129,90,771,23,31.3,6.8,22.72,30,Kansas City Chiefs,16,274,475,57.7,2968,27,5.7,8,1.7,75,6.7,7.1,11.6,185.5,90.1,,32,221,5.9,6.2,6.3,1,2,44.29,1,Kansas City Chiefs,16,556,2627,13,80,4.7,164.2,15,-10.27,8,Kansas City Chiefs,16,52,524,1,94,10.1,58,1140,0,36,19.7,7497,5,Kansas City Chiefs,16,,,6,6,9,7,8,6,3,1,26,20,76.9%,42,42,100.0%,90,3942,72,1,43.8,14,Kansas City Chiefs,16,13,27,1,,,3,,44,,2,42,42,20,26,,366,22.9,12,Kansas City Chiefs,16,192,1089,31.3,6.8,5.7,29.1,Own 30.5,2:38,1.77
Miami Dolphins,7,9,0,0.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,30,Miami Dolphins,16,273,5170,1040,5,31,10,300,335,557,3527,17,21,5.9,189,445,1643,8,3.7,91,72,595,20,29.7,15.7,-61.78,16,Miami Dolphins,16,335,557,60.1,3527,17,3.1,21,3.8,57,6.7,5.7,11.2,220.4,74.8,,38,228,5.9,4.9,6.4,0,1,7.64,21,Miami Dolphins,16,445,1643,8,51,3.7,102.7,24,-61.17,29,Miami Dolphins,16,28,293,0,47,10.5,56,1199,0,46,21.4,6848,22,Miami Dolphins,16,1,1,9,9,5,5,18,11,8,4,41,30,73.2%,25,25,100.0%,75,3368,69,2,44.9,30,Miami Dolphins,16,8,17,,,1,,,26,,1,25,25,30,41,1,273,17.1,19,Miami Dolphins,16,185,1081,29.7,15.7,5.8,27.7,Own 28.6,2:40,1.43
Minnesota Vikings,6,10,0,0.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,29,Minnesota Vikings,16,281,5039,982,5.1,37,11,289,305,505,3097,14,26,5.7,159,441,1942,16,4.4,104,100,769,26,24.9,19,-89.86,26,Minnesota Vikings,16,305,505,60.4,3097,14,2.8,26,5.1,53,6.6,4.8,10.9,193.6,67.7,,36,230,5.7,4.1,6.7,1,2,-50.2,10,Minnesota Vikings,16,441,1942,16,80,4.4,121.4,20,-23.58,11,Minnesota Vikings,16,42,361,0,52,8.6,64,1427,1,95,22.3,7047,29,Minnesota Vikings,16,,,7,7,9,8,2,2,,,18,17,94.4%,31,30,96.8%,83,3569,59,0,43,29,Minnesota Vikings,16,16,14,,1,1,1,,33,1,2,30,31,17,18,,281,17.6,17,Minnesota Vikings,16,189,1000,24.9,19,5.3,26.4,Own 30.2,2:34,1.38
New England Patriots,14,2,0,0.875,518,313,205,12.8,2.6,15.4,12.6,2.8,1,New England Patriots,16,518,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,47,5.4,190.29,11,New England Patriots,16,331,507,65.3,3847,37,7.3,5,1,79,7.9,8.9,12.2,240.4,109.8,,25,175,7.2,8.2,4.7,2,3,147.73,9,New England Patriots,16,454,1973,19,36,4.3,123.3,9,45.5,30,New England Patriots,16,27,361,1,94,13.4,56,1231,2,103,22,7678,16,New England Patriots,16,1,1,7,7,12,11,4,3,1,,25,22,88.0%,64,62,96.9%,58,2506,65,0,43.2,1,New England Patriots,16,19,37,1,2,1,4,1,65,,1,62,64,22,25,,518,32.4,32,New England Patriots,16,166,1011,47,5.4,6.1,35,Own 32.1,2:50,2.76
New Orleans Saints,11,5,0,0.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,11,New Orleans Saints,16,384,5960,1067,5.6,31,9,351,450,661,4441,33,22,6.5,236,380,1519,9,4,94,90,884,21,38.5,16.7,98.07,3,New Orleans Saints,16,450,661,68.1,4441,33,5,22,3.3,80,7,6.5,10.3,277.6,90.8,,26,195,6.5,6,3.8,4,5,137.35,28,New Orleans Saints,16,380,1519,9,55,4,94.9,23,-36.1,31,New Orleans Saints,16,27,210,0,72,7.8,52,1181,0,39,22.7,7570,30,New Orleans Saints,16,1,1,8,5,13,11,7,6,2,2,31,25,80.6%,43,43,100.0%,57,2616,64,0,45.9,11,New Orleans Saints,16,9,33,,,,2,,44,,0,43,43,25,31,1,384,24,30,New Orleans Saints,16,174,1098,38.5,16.7,6.3,34.2,Own 29.2,2:57,2.12
New York Giants,10,6,0,0.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,7,New York Giants,16,394,6085,1035,5.9,42,17,331,339,539,3885,31,25,7,192,480,2200,17,4.6,112,92,777,27,32.4,20.3,12.48,10,New York Giants,16,339,539,62.9,3885,31,5.8,25,4.6,92,7.4,6.5,11.8,242.8,85.3,,16,117,7,6.1,2.9,1,1,66.22,6,New York Giants,16,480,2200,17,73,4.6,137.5,26,-46.48,15,New York Giants,16,43,263,0,22,6.1,57,1082,0,42,19,7577,18,New York Giants,16,,,12,12,4,2,4,3,3,2,23,19,82.6%,47,47,100.0%,73,3219,69,1,44.1,7,New York Giants,16,17,31,,,,,,48,1,1,47,47,19,23,,394,24.6,1,New York Giants,16,207,1058,32.4,20.3,5.1,29.3,Own 31.0,2:31,1.9
New York Jets,11,5,0,0.688,367,304,63,3.9,2.5,6.5,2.2,4.2,13,New York Jets,16,367,5616,1087,5.2,21,7,307,288,525,3242,20,14,5.9,171,534,2374,14,4.4,118,103,934,18,32.2,10.6,19.75,22,New York Jets,16,288,525,54.9,3242,20,3.8,14,2.7,74,6.5,6.1,11.9,202.6,76.5,,28,178,5.9,5.4,5.1,4,6,39.6,4,New York Jets,16,534,2374,14,53,4.4,148.4,23,-7.46,3,New York Jets,16,56,529,0,32,9.4,63,1588,2,97,25.2,7940,3,New York Jets,16,1,1,11,10,16,14,6,3,5,2,39,30,76.9%,37,37,100.0%,84,3578,61,0,42.6,13,New York Jets,16,14,20,,2,,3,,39,1,1,37,37,30,39,2,367,22.9,5,New York Jets,16,199,1126,32.2,10.6,5.7,28.2,Own 32.8,2:37,1.65
Oakland Raiders,8,8,0,0.5,410,371,39,2.4,-2.3,0.2,2.3,-2.2,6,Oakland Raiders,16,410,5674,1039,5.5,26,10,306,279,491,3180,18,16,5.9,159,504,2494,19,4.9,113,148,1276,34,34.5,11.8,1.3,23,Oakland Raiders,16,279,491,56.8,3180,18,3.7,16,3.3,73,7.1,6.3,12.4,198.8,77.5,,44,291,5.9,5.3,8.2,2,2,16.19,2,Oakland Raiders,16,504,2494,19,71,4.9,155.9,32,4.28,2,Oakland Raiders,16,55,386,0,53,7,68,1532,3,101,22.5,7965,1,Oakland Raiders,16,,,8,8,14,13,12,8,7,4,41,33,80.5%,43,43,100.0%,78,3650,68,0,46.8,6,Oakland Raiders,16,19,18,,3,1,2,1,44,,1,43,43,33,41,2,410,25.6,3,Oakland Raiders,16,203,1080,34.5,11.8,5.3,27.9,Own 28.8,2:27,1.76
Philadelphia Eagles,10,6,0,0.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,3,Philadelphia Eagles,16,439,6230,1038,6,25,12,322,348,561,3906,28,13,6.4,189,428,2324,18,5.4,116,129,1101,17,39.8,11.7,93.21,9,Philadelphia Eagles,16,348,561,62,3906,28,5,13,2.3,91,7.5,7.5,12.1,244.1,92.1,,49,309,6.4,6.4,8,4,3,45.25,5,Philadelphia Eagles,16,428,2324,18,62,5.4,145.3,33,59.56,16,Philadelphia Eagles,16,38,404,1,65,10.6,62,1272,0,46,20.5,8265,4,Philadelphia Eagles,16,,,12,12,12,10,11,9,3,1,38,32,84.2%,47,47,100.0%,73,3197,63,0,43.8,3,Philadelphia Eagles,16,18,28,1,,1,1,,49,1,2,47,47,32,38,,439,27.4,9,Philadelphia Eagles,16,196,1076,39.8,11.7,5.5,31.8,Own 31.6,2:33,2.13
Pittsburgh Steelers,12,4,0,0.75,375,232,143,8.9,1.3,10.2,2.5,7.7,12,Pittsburgh Steelers,16,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,36.9,9.5,49.6,14,Pittsburgh Steelers,16,298,479,62.2,3601,22,4.6,9,1.9,56,8.1,8.2,13.1,225.1,95.2,,43,289,6.9,7,8.2,2,5,96.31,11,Pittsburgh Steelers,16,471,1924,15,50,4.1,120.3,22,-45.75,28,Pittsburgh Steelers,16,37,226,0,38,6.1,49,1153,1,89,23.5,7206,13,Pittsburgh Steelers,16,3,3,11,10,6,6,13,8,4,2,37,29,78.4%,38,38,100.0%,74,3278,62,0,44.3,12,Pittsburgh Steelers,16,15,22,,1,,3,,41,2,2,38,38,29,37,,375,23.4,25,Pittsburgh Steelers,16,179,1031,36.9,9.5,5.8,30.8,Own 31.5,2:54,1.93
San Diego Chargers,9,7,0,0.563,441,322,119,7.4,-2.6,4.8,3.2,1.6,2,San Diego Chargers,16,441,6329,1039,6.1,29,16,357,359,544,4519,30,13,7.8,236,457,1810,18,4,94,84,677,27,40.3,14.5,107.05,2,San Diego Chargers,16,359,544,66,4519,30,5.5,13,2.4,59,8.7,8.8,13.2,282.4,101.9,,38,227,7.8,7.8,6.5,1,1,163.92,15,San Diego Chargers,16,457,1810,18,36,4,113.1,25,-50.53,20,San Diego Chargers,16,40,420,0,62,10.5,56,1342,0,45,24,8317,25,San Diego Chargers,16,,,7,7,11,10,10,9,5,1,33,27,81.8%,48,48,100.0%,56,2430,67,4,43.4,2,San Diego Chargers,16,18,30,,,,3,,51,2,2,48,48,27,33,1,441,27.6,18,San Diego Chargers,16,186,1072,40.3,14.5,5.8,33.9,Own 28.6,2:51,2.24
San Francisco 49ers,6,10,0,0.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,24,San Francisco 49ers,16,305,5013,945,5.3,23,8,251,282,500,3356,19,15,6.2,149,401,1657,10,4.1,85,112,933,17,26.8,11.1,-40.48,18,San Francisco 49ers,16,282,500,56.4,3356,19,3.8,15,3,66,7.2,6.6,12.8,209.8,79.4,,44,257,6.2,5.6,8.1,2,2,-5.7,19,San Francisco 49ers,16,401,1657,10,64,4.1,103.6,22,-28.23,22,San Francisco 49ers,16,31,366,1,78,11.8,61,1187,0,61,19.5,6799,8,San Francisco 49ers,16,,,10,10,8,6,6,4,3,2,27,22,81.5%,33,33,100.0%,91,4204,64,0,46.2,24,San Francisco 49ers,16,10,19,1,,,3,1,34,1,1,33,33,22,27,,305,19.1,14,San Francisco 49ers,16,190,972,26.8,11.1,5.1,26.2,Own 28.5,2:25,1.42
Seattle Seahawks,7,9,0,0.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,23,Seattle Seahawks,16,310,4765,964,4.9,31,11,260,324,544,3341,14,20,5.8,159,385,1424,13,3.7,81,101,890,20,26.5,14.8,-91.33,19,Seattle Seahawks,16,324,544,59.6,3341,14,2.6,20,3.7,87,6.5,5.4,10.9,208.8,72.1,,35,195,5.8,4.7,6,0,0,-23.61,31,Seattle Seahawks,16,385,1424,13,39,3.7,89,18,-58.26,10,Seattle Seahawks,16,42,468,0,84,11.1,65,1558,3,101,24,6968,24,Seattle Seahawks,16,2,2,12,10,7,7,7,5,2,1,30,25,83.3%,31,31,100.0%,78,3253,63,0,41.7,23,Seattle Seahawks,16,13,14,,3,,2,1,33,2,2,31,31,25,30,1,310,19.4,8,Seattle Seahawks,16,196,994,26.5,14.8,5.1,24.2,Own 30.8,2:15,1.35
St. Louis Rams,7,9,0,0.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,26,St. Louis Rams,16,289,4846,1053,4.6,21,6,292,354,590,3268,18,15,5.2,179,429,1578,9,3.7,84,102,877,29,30.2,9.5,-85.9,21,St. Louis Rams,16,354,590,60,3268,18,3.1,15,2.5,49,6,5.4,9.9,204.3,76.5,,34,244,5.2,4.7,5.4,,,-22.88,25,St. Louis Rams,16,429,1578,9,42,3.7,98.6,14,-51.21,5,St. Louis Rams,16,40,452,0,42,11.3,74,1614,0,84,21.8,7268,2,St. Louis Rams,16,,,12,11,14,12,9,7,4,3,39,33,84.6%,27,26,96.3%,94,4277,63,0,45.5,26,St. Louis Rams,16,9,18,,,,,,27,,0,26,27,33,39,1,289,18.1,4,St. Louis Rams,16,199,1092,30.2,9.5,5.5,24.3,Own 30.9,2:30,1.45
Tampa Bay Buccaneers,10,6,0,0.625,341,318,23,1.4,-2,-0.6,-1,0.4,20,Tampa Bay Buccaneers,16,341,5362,955,5.6,19,13,288,306,494,3361,26,6,6.4,172,431,2001,9,4.6,97,100,837,19,33.7,9.3,48.96,17,Tampa Bay Buccaneers,16,306,494,61.9,3361,26,5.3,6,1.2,64,7.2,7.7,11.6,210.1,96.2,,30,203,6.4,6.9,5.7,5,5,72.77,8,Tampa Bay Buccaneers,16,431,2001,9,61,4.6,125.1,24,-16.44,27,Tampa Bay Buccaneers,16,30,193,0,23,6.4,57,1386,1,89,24.3,7148,23,Tampa Bay Buccaneers,16,,,6,6,10,10,10,6,2,1,28,23,82.1%,36,36,100.0%,76,3055,64,0,40.2,20,Tampa Bay Buccaneers,16,9,26,,1,,3,,39,1,3,36,36,23,28,,341,21.3,31,Tampa Bay Buccaneers,16,172,983,33.7,9.3,5.7,31.2,Own 28.9,2:52,1.83
Tennessee Titans,6,10,0,0.375,356,339,17,1.1,0,1,-0.9,1.9,17,Tennessee Titans,16,356,4834,907,5.3,29,14,252,273,474,3107,24,15,6.2,155,406,1727,13,4.3,73,128,1040,24,33.2,14.7,-9.57,25,Tennessee Titans,16,273,474,57.6,3107,24,5.1,15,3.2,80,6.9,6.5,12,194.2,82.6,,27,171,6.2,5.8,5.4,1,2,65.02,17,Tennessee Titans,16,406,1727,13,76,4.3,107.9,22,-62.13,24,Tennessee Titans,16,27,329,1,87,12.2,64,1556,1,98,24.3,6872,21,Tennessee Titans,16,,,6,6,9,8,8,8,3,2,26,24,92.3%,38,38,100.0%,77,3303,68,0,42.9,17,Tennessee Titans,16,13,24,1,1,,1,,40,1,2,38,38,24,26,2,356,22.3,20,Tennessee Titans,16,184,933,33.2,14.7,5.1,26,Own 31.5,2:16,1.8
Washington Redskins,6,10,0,0.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,25,Washington Redskins,16,302,5392,1002,5.4,31,12,295,349,605,3931,21,19,6,194,351,1461,9,4.2,72,90,647,29,26.3,14.6,-67.32,8,Washington Redskins,16,349,605,57.7,3931,21,3.5,19,3.1,76,7.1,6.4,12.3,245.7,78.1,,46,348,6,5.4,7.1,2,3,-14.25,30,Washington Redskins,16,351,1461,9,54,4.2,91.3,29,-36.32,7,Washington Redskins,16,40,432,0,53,10.8,73,1680,1,96,23,7837,6,Washington Redskins,16,1,1,10,8,7,4,14,11,3,,35,24,68.6%,28,28,100.0%,94,3779,56,2,40.2,25,Washington Redskins,16,9,21,,1,1,1,,33,2,4,28,28,24,35,,302,18.9,2,Washington Redskins,16,205,1037,26.3,14.6,5.1,26,Own 28.8,2:15,1.38
